City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,Lambarene,-0.7,10.24,73.22,95,100,0.56,GA,2020-11-09 03:41:19
142,Marawi,8.0,124.29,84.99,73,37,7.0,PH,2020-11-09 03:41:21
143,Bergen,60.39,5.33,42.01,100,0,16.11,NO,2020-11-09 03:43:58
144,Ancud,-41.87,-73.82,55.0,76,0,6.93,CL,2020-11-09 03:41:33
145,Montepuez,-13.13,39.0,72.64,83,55,6.04,MZ,2020-11-09 03:46:46
146,Kalemie,-5.95,29.19,72.07,81,98,2.33,CD,2020-11-09 03:46:46
147,Santa Maria,-29.68,-53.81,68.0,77,40,14.99,BR,2020-11-09 03:44:40
148,Antalaha,-14.9,50.28,74.34,80,99,8.3,MG,2020-11-09 03:46:46
149,Kathu,7.92,98.33,82.4,83,40,8.05,TH,2020-11-09 03:40:36
150,Evanston,42.04,-87.69,69.8,64,40,9.17,US,2020-11-09 03:37:41
151,Asau,46.43,26.4,41.0,70,75,2.24,RO,2020-11-09 03:46:47
152,Atuona,-9.8,-139.03,77.67,64,58,13.27,PF,2020-11-09 03:40:30
153,Pitlochry,56.71,-3.73,50.0,93,100,2.04,GB,2020-11-09 03:46:47
154,Qaanaaq,77.48,-69.36,-8.05,70,0,7.85,GL,2020-11-09 03:46:47
155,Loreto,22.27,-101.97,58.73,42,0,4.83,MX,2020-11-09 03:46:47
156,Bumba,2.18,22.47,71.26,97,100,2.48,CD,2020-11-09 03:46:47
157,Yerbogachen,61.28,108.01,33.58,93,100,8.9,RU,2020-11-09 03:46:48
158,Itarema,-2.92,-39.92,80.56,78,10,17.87,BR,2020-11-09 03:41:14
159,Rudsar,37.14,50.29,51.8,87,20,4.7,IR,2020-11-09 03:46:48
160,Volgorechensk,57.44,41.16,30.2,86,0,8.95,RU,2020-11-09 03:46:48
161,Torbay,47.67,-52.73,34.0,74,20,10.29,CA,2020-11-09 03:40:53
162,Paracatu,-17.22,-46.87,71.06,82,83,2.98,BR,2020-11-09 03:46:48
163,Mackenzie,55.3,-123.17,21.2,79,1,5.82,CA,2020-11-09 03:46:48
164,Gat,31.61,34.76,64.0,82,20,4.7,IL,2020-11-09 03:44:02
165,Tobol,52.68,62.58,36.52,81,53,15.99,KZ,2020-11-09 03:46:49
166,Sarakhs,36.54,61.16,48.2,100,97,2.24,IR,2020-11-09 03:46:49
167,Homestead,25.47,-80.48,75.99,94,90,29.97,US,2020-11-09 03:46:49
168,Colares,38.8,-9.45,60.01,97,13,5.35,PT,2020-11-09 03:46:49
169,Faanui,-16.48,-151.75,78.12,79,91,16.64,PF,2020-11-09 03:40:25
170,Souillac,-20.52,57.52,71.6,83,75,3.36,MU,2020-11-09 03:41:47
171,Lorengau,-2.02,147.27,84.36,68,53,4.18,PG,2020-11-09 03:46:49
172,Abancay,-13.63,-72.88,57.74,65,100,2.59,PE,2020-11-09 03:46:50
173,Ribeira Grande,38.52,-28.7,61.65,63,65,13.98,PT,2020-11-09 03:40:54
174,Cherskiy,68.75,161.3,1.89,93,98,3.04,RU,2020-11-09 03:46:50
175,Bocaiuva,-17.11,-43.81,73.4,69,0,3.42,BR,2020-11-09 03:46:50
176,Pouembout,-21.13,164.9,79.54,57,26,12.88,NC,2020-11-09 03:46:50
177,Khatanga,71.97,102.5,11.08,92,100,17.02,RU,2020-11-09 03:40:29
178,Dalbandin,28.89,64.41,72.81,18,15,0.27,PK,2020-11-09 03:46:50
179,Phan Thiet,10.93,108.1,81.05,73,99,1.5,VN,2020-11-09 03:46:51
180,Geraldton,-28.77,114.6,75.2,57,75,24.16,AU,2020-11-09 03:41:08
181,Kokstad,-30.55,29.42,61.63,92,100,4.25,ZA,2020-11-09 03:46:52
182,Warrington,53.39,-2.58,53.01,100,81,6.93,GB,2020-11-09 03:42:40
183,Victor Harbor,-35.57,138.62,81.0,38,89,7.9,AU,2020-11-09 03:46:52
184,Sibolga,1.74,98.78,83.7,72,100,3.91,ID,2020-11-09 03:46:52
185,Verkhniy Lomov,53.47,43.55,32.11,95,0,9.78,RU,2020-11-09 03:46:52
186,Cururupu,-1.83,-44.87,77.76,88,22,4.79,BR,2020-11-09 03:42:24
187,Vila Franca Do Campo,37.72,-25.43,57.2,82,75,2.24,PT,2020-11-09 03:46:52
188,Aksu,41.12,80.26,49.89,39,100,2.66,CN,2020-11-09 03:46:52
189,Bozeman,45.68,-111.04,14.0,66,90,4.7,US,2020-11-09 03:46:53
190,Black River,18.03,-77.85,79.0,88,20,4.7,JM,2020-11-09 03:46:53
191,Saint George,37.1,-113.58,39.99,86,1,8.05,US,2020-11-09 03:46:53
192,Dalsingh Sarai,25.67,85.83,77.85,36,0,3.69,IN,2020-11-09 03:46:53
193,Baker City,44.77,-117.83,30.2,68,90,14.99,US,2020-11-09 03:46:53
194,Thompson,55.74,-97.86,8.6,92,90,16.11,CA,2020-11-09 03:40:44
195,Sarangani,5.4,125.46,83.64,75,80,13.53,PH,2020-11-09 03:46:53
196,Quatre Cocos,-20.21,57.76,77.0,83,75,3.36,MU,2020-11-09 03:46:53
197,Killarney,52.05,-9.52,53.83,91,100,5.73,IE,2020-11-09 03:46:54
198,Mahebourg,-20.41,57.7,71.6,83,75,3.36,MU,2020-11-09 03:40:26
199,Chapais,49.78,-74.85,39.2,100,90,4.7,CA,2020-11-09 03:46:54
200,Aragats,40.49,44.35,32.0,85,0,3.36,AM,2020-11-09 03:46:54
201,Baghdad,33.34,44.4,66.2,59,0,5.82,IQ,2020-11-09 03:45:39
202,Adeje,28.12,-16.73,68.0,60,20,11.41,ES,2020-11-09 03:46:54
203,Tiksi,71.69,128.87,-8.81,87,4,4.45,RU,2020-11-09 03:40:38
204,Srednekolymsk,67.45,153.68,-6.05,91,99,4.38,RU,2020-11-09 03:46:54
205,Murgab,37.5,61.97,50.0,87,40,4.7,TM,2020-11-09 03:46:55
206,Isangel,-19.55,169.27,77.0,78,90,6.93,VU,2020-11-09 03:42:06
207,Whittlesea,-32.18,26.82,59.43,81,95,5.46,ZA,2020-11-09 03:46:55
208,Port Hawkesbury,45.62,-61.35,37.99,80,90,4.97,CA,2020-11-09 03:46:55
209,Visnes,59.36,5.22,46.0,93,100,11.41,NO,2020-11-09 03:41:24
210,Besikduzu,41.05,39.23,55.4,66,0,8.05,TR,2020-11-09 03:46:55
211,Port Macquarie,-31.43,152.92,71.01,52,75,11.41,AU,2020-11-09 03:46:36
212,Christchurch,-43.53,172.63,57.2,62,86,12.75,NZ,2020-11-09 03:45:00
213,Hofn,64.25,-15.21,41.85,83,100,9.89,IS,2020-11-09 03:42:01
214,Cloquet,46.72,-92.46,66.2,59,40,13.87,US,2020-11-09 03:46:56
215,Itoman,26.12,127.67,77.0,69,75,19.46,JP,2020-11-09 03:41:21
216,Yaan,7.38,8.57,72.19,86,31,3.2,NG,2020-11-09 03:46:56
217,Abu Samrah,35.3,37.18,59.58,59,95,5.64,SY,2020-11-09 03:41:00
218,Barretos,-20.56,-48.57,77.83,44,43,3.8,BR,2020-11-09 03:46:56
219,Comodoro Rivadavia,-45.87,-67.5,66.2,42,0,8.05,AR,2020-11-09 03:40:38
220,Alice Springs,-23.7,133.88,100.4,8,0,11.41,AU,2020-11-09 03:45:51
221,Machico,32.7,-16.77,64.4,68,20,8.05,PT,2020-11-09 03:46:57
222,Plettenberg Bay,-34.05,23.37,56.68,81,100,8.84,ZA,2020-11-09 03:42:04
223,Revelstoke,50.98,-118.2,35.6,40,1,12.75,CA,2020-11-09 03:46:57
224,Avera,33.19,-82.53,68.0,94,75,8.05,US,2020-11-09 03:41:46
225,Vicuna,-30.03,-70.71,55.4,87,0,1.12,CL,2020-11-09 03:46:57
226,Manggar,-2.88,108.27,84.97,69,89,8.28,ID,2020-11-09 03:46:57
227,Manjacaze,-24.71,33.88,76.1,72,0,7.25,MZ,2020-11-09 03:41:42
228,Tuatapere,-46.13,167.68,55.99,71,98,7.0,NZ,2020-11-09 03:40:57
229,Makat,47.65,53.35,45.34,69,96,17.87,KZ,2020-11-09 03:46:58
230,Upernavik,72.79,-56.15,-6.07,76,0,9.93,GL,2020-11-09 03:41:24
231,Mount Isa,-20.73,139.5,100.4,8,0,6.93,AU,2020-11-09 03:41:39
232,Luderitz,-26.65,15.16,57.97,76,0,24.85,NA,2020-11-09 03:40:39
233,Tilichiki,60.47,166.1,9.19,95,52,12.37,RU,2020-11-09 03:46:58
234,Ayagoz,47.97,80.44,36.48,92,100,24.52,KZ,2020-11-09 03:46:58
235,Bandarbeyla,9.49,50.81,78.84,76,9,16.96,SO,2020-11-09 03:46:59
236,San Quintin,30.48,-115.95,61.09,61,25,15.43,MX,2020-11-09 03:46:59
237,Noyabrsk,63.2,75.45,24.33,98,100,8.61,RU,2020-11-09 03:46:59
238,Charters Towers,-20.1,146.27,85.93,40,72,20.0,AU,2020-11-09 03:46:59
239,Ewa Beach,21.32,-158.01,82.4,54,1,8.05,US,2020-11-09 03:46:35
240,Ibra,22.69,58.53,77.13,49,0,4.36,OM,2020-11-09 03:47:00
241,Ndele,8.41,20.65,71.19,56,0,2.13,CF,2020-11-09 03:47:00
242,Tukrah,32.53,20.58,64.85,66,36,10.96,LY,2020-11-09 03:47:00
243,Norman Wells,65.28,-126.83,15.8,92,75,4.7,CA,2020-11-09 03:40:30
244,Don Sak,9.32,99.69,84.2,74,20,3.36,TH,2020-11-09 03:47:00
245,Buenaventura,3.88,-77.03,66.0,75,100,0.87,CO,2020-11-09 03:47:00
246,Umm Lajj,25.02,37.27,73.22,56,0,7.87,SA,2020-11-09 03:47:00
247,Ostrovnoy,68.05,39.51,32.2,94,100,22.77,RU,2020-11-09 03:47:00
248,Tasiilaq,65.61,-37.64,33.13,95,100,31.14,GL,2020-11-09 03:40:33
249,Pontes E Lacerda,-15.23,-59.34,76.46,68,46,2.75,BR,2020-11-09 03:47:01
250,Port-Gentil,-0.72,8.78,78.21,83,100,8.99,GA,2020-11-09 03:47:01
251,Iqaluit,63.75,-68.51,15.8,78,90,13.71,CA,2020-11-09 03:40:39
252,North Myrtle Beach,33.82,-78.68,69.8,83,1,12.75,US,2020-11-09 03:47:01
253,Burnie,-41.07,145.92,62.01,54,69,10.0,AU,2020-11-09 03:47:01
254,Dingle,11.0,122.67,85.14,74,38,2.86,PH,2020-11-09 03:40:56
255,Biltine,14.53,20.92,72.63,28,11,11.52,TD,2020-11-09 03:41:58
256,Bocana De Paiwas,12.79,-85.12,73.36,91,100,7.65,NI,2020-11-09 03:47:02
257,Mahibadhoo,3.78,72.97,83.57,71,65,3.96,MV,2020-11-09 03:47:02
258,Grand Gaube,-20.01,57.66,77.0,74,19,8.99,MU,2020-11-09 03:47:02
259,Waipawa,-41.41,175.52,55.4,66,99,27.51,NZ,2020-11-09 03:47:02
260,Port Augusta,-32.5,137.77,88.0,28,53,9.17,AU,2020-11-09 03:40:43
261,High Rock,26.62,-78.28,77.0,94,90,20.8,BS,2020-11-09 03:47:02
262,Gunjur,13.2,-16.73,77.0,100,5,6.51,GM,2020-11-09 03:47:02
263,Saint-Francois,46.42,3.91,45.0,100,1,3.36,FR,2020-11-09 03:41:26
264,Corner Brook,48.97,-57.95,32.0,74,75,3.36,CA,2020-11-09 03:37:50
265,Itaituba,-4.28,-55.98,75.99,94,100,1.05,BR,2020-11-09 03:47:03
266,Suntar,62.14,117.63,10.22,87,100,8.12,RU,2020-11-09 03:41:18
267,Victoria,22.29,114.16,78.01,49,83,7.34,HK,2020-11-09 03:36:00
268,Merauke,-8.47,140.33,83.82,75,52,14.18,ID,2020-11-09 03:40:47
269,Chiungutwa,-10.88,38.98,75.78,75,99,2.39,TZ,2020-11-09 03:47:03
270,Ihosy,-22.4,46.12,66.96,73,52,8.48,MG,2020-11-09 03:47:03
271,Ballina,-28.87,153.57,73.4,64,90,17.22,AU,2020-11-09 03:41:15
272,Leuwiliang,-6.57,106.63,96.01,53,100,1.41,ID,2020-11-09 03:47:05
273,Paamiut,61.99,-49.67,22.5,88,100,43.31,GL,2020-11-09 03:47:05
274,Mandalgovi,45.76,106.27,39.04,63,0,8.14,MN,2020-11-09 03:47:05
275,Krasnoselkup,65.7,82.47,32.11,99,100,8.52,RU,2020-11-09 03:40:26
276,Cordoba,-31.41,-64.18,62.01,93,75,5.82,AR,2020-11-09 03:42:27
277,Valer,60.68,11.83,34.0,87,90,3.36,NO,2020-11-09 03:47:06
278,Sept-Iles,50.2,-66.38,30.0,92,90,3.36,CA,2020-11-09 03:36:02
279,Rawson,-43.3,-65.1,65.01,70,83,8.55,AR,2020-11-09 03:40:46
280,Wichita Falls,33.91,-98.49,64.4,77,1,14.99,US,2020-11-09 03:43:49
281,Vagur,61.47,-6.81,48.87,95,99,13.44,FO,2020-11-09 03:47:06
282,Tokur,53.13,132.9,6.91,83,8,4.97,RU,2020-11-09 03:47:06
283,Vila Velha,-20.33,-40.29,75.2,88,40,9.17,BR,2020-11-09 03:42:54
284,Qasigiannguit,68.82,-51.19,15.8,56,100,8.05,GL,2020-11-09 03:41:32
285,Luwuk,-0.95,122.79,87.94,50,27,8.75,ID,2020-11-09 03:47:07
