City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
622,Bengkulu,ID,79.84,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
623,Pundaguitan,PH,83.43,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
629,Kattivakkam,IN,86.0,broken clouds,13.22,80.32,St. Joseph Thirumana mandapam
630,Blackwater,AU,79.61,overcast clouds,-23.58,148.88,Blackwater Motor Inn
636,Alofi,NU,75.2,broken clouds,-19.06,-169.92,Taloa Heights
637,Hobyo,SO,83.26,light rain,5.35,48.53,Osmani Hotel
641,Moroni,KM,81.88,scattered clouds,-11.7,43.26,Hotel les Arcades
651,Mudgal,IN,78.1,clear sky,16.02,76.43,PRINCE TYERS
654,Tabuk,PH,80.28,moderate rain,17.42,121.44,Grand Zion Garden Resort Hotel
657,Toamasina,MG,78.8,broken clouds,-18.17,49.38,Hotel H1
663,Mangrol,IN,85.8,clear sky,21.12,70.12,Hotel The Royal Honours
664,Bhadra,IN,84.06,clear sky,29.12,75.17,Hotel Ganpati
671,Mpanda,TZ,76.82,broken clouds,-6.37,31.04,CH Hotel - Mpanda
672,Ikwiriri,TZ,84.29,few clouds,-7.96,38.97,Selous Lodge
673,Ibra,OM,84.45,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
682,Mackay,AU,75.2,broken clouds,-21.15,149.2,International Lodge Motel
685,Khambhaliya,IN,87.6,clear sky,22.21,69.67,"Kalyan's Hotel, Banquet & Restaurant."
686,Ekuvukeni,ZA,77.99,overcast clouds,-28.47,30.16,Sibeko Resident
691,Dhidhdhoo,MV,84.7,light rain,6.88,73.1,Dhidhoo beach
697,Atar,MR,79.99,overcast clouds,20.52,-13.05,Oumou Elghoura
698,Sibolga,ID,84.47,light rain,1.74,98.78,Hotel Syariah CN Darussalam
